order_id,customer_id,store_id,employee_id,order_date,status
ORD000001,CUST04000,DC015,EMP0763,2023-10-16,Fulfilled
ORD000002,CUST00100,DC022,EMP0292,2021-01-01,Fulfilled
ORD000003,CUST02162,DC016,EMP0616,2021-04-18,Pending
ORD000004,CUST01770,DC004,EMP0522,2022-04-29,Cancelled
ORD000005,CUST01844,DC024,EMP0352,2022-11-22,Fulfilled
ORD000006,CUST03735,DC004,EMP0400,2021-11-27,Fulfilled
ORD000007,CUST00142,DC023,EMP0096,2024-08-21,Cancelled
ORD000008,CUST02152,DC006,EMP0793,2021-04-14,Backordered
ORD000009,CUST01336,DC009,EMP0646,2024-05-22,Backordered
ORD000010,CUST00548,DC003,EMP0750,2022-10-15,Fulfilled
ORD000011,CUST00562,DC004,EMP0711,2024-08-25,Fulfilled
ORD000012,CUST01732,DC008,EMP0193,2025-05-30,Fulfilled
ORD000013,CUST03765,DC024,EMP0485,2025-03-18,Backordered
ORD000014,CUST01034,DC005,EMP0449,2024-01-02,Cancelled
ORD000015,CUST00415,DC015,EMP0479,2021-04-03,Cancelled
ORD000016,CUST00213,DC023,EMP0338,2024-08-10,Fulfilled
ORD000017,CUST00252,DC022,EMP0127,2023-08-16,Fulfilled
ORD000018,CUST00932,DC020,EMP0786,2023-02-16,Cancelled
ORD000019,CUST03230,DC023,EMP0417,2025-07-10,Fulfilled
ORD000020,CUST02624,DC007,EMP0418,2022-06-16,Fulfilled
ORD000021,CUST01561,DC023,EMP0716,2024-03-10,Fulfilled
ORD000022,CUST02942,DC011,EMP0185,2022-10-02,Fulfilled
ORD000023,CUST02387,DC006,EMP0406,2025-05-22,Fulfilled
ORD000024,CUST02200,DC009,EMP0012,2022-10-16,Pending
ORD000025,CUST03320,DC002,EMP0520,2023-04-30,Fulfilled
ORD000026,CUST03018,DC001,EMP0449,2025-07-19,Fulfilled
ORD000027,CUST00197,DC001,EMP0762,2023-05-11,Pending
ORD000028,CUST01042,DC002,EMP0650,2024-12-15,Pending
ORD000029,CUST03346,DC014,EMP0529,2025-06-04,Pending
ORD000030,CUST01058,DC020,EMP0708,2022-07-07,Fulfilled
ORD000031,CUST00946,DC008,EMP0260,2024-03-26,Cancelled
ORD000032,CUST02326,DC011,EMP0316,2023-02-20,Fulfilled
ORD000033,CUST00514,DC006,EMP0016,2021-01-11,Pending
ORD000034,CUST01125,DC013,EMP0372,2023-05-15,Backordered
ORD000035,CUST02039,DC022,EMP0383,2025-01-28,Cancelled
ORD000036,CUST02317,DC014,EMP0137,2022-11-24,Backordered
ORD000037,CUST01083,DC005,EMP0222,2023-08-28,Backordered
ORD000038,CUST03663,DC005,EMP0559,2021-09-08,Fulfilled
ORD000039,CUST03773,DC008,EMP0653,2025-08-10,Fulfilled
ORD000040,CUST01890,DC011,EMP0192,2022-05-09,Cancelled
ORD000041,CUST01708,DC017,EMP0384,2025-07-16,Fulfilled
ORD000042,CUST00266,DC013,EMP0659,2024-05-07,Fulfilled
ORD000043,CUST01077,DC013,EMP0565,2024-06-27,Fulfilled
ORD000044,CUST00523,DC016,EMP0401,2022-04-27,Fulfilled
ORD000045,CUST03930,DC007,EMP0638,2023-02-10,Cancelled
ORD000046,CUST03224,DC004,EMP0470,2021-08-02,Fulfilled
ORD000047,CUST00482,DC006,EMP0333,2022-11-24,Cancelled
ORD000048,CUST03527,DC012,EMP0214,2021-08-31,Pending
ORD000049,CUST00213,DC021,EMP0387,2024-07-22,Cancelled
ORD000050,CUST00442,DC021,EMP0537,2023-11-19,Fulfilled
ORD000051,CUST00705,DC002,EMP0793,2022-07-11,Cancelled
ORD000052,CUST02481,DC023,EMP0256,2024-07-08,Backordered
ORD000053,CUST01618,DC002,EMP0057,2025-11-02,Cancelled
ORD000054,CUST03049,DC009,EMP0591,2024-03-18,Fulfilled
ORD000055,CUST03148,DC001,EMP0411,2022-11-25,Pending
ORD000056,CUST00741,DC007,EMP0524,2023-07-18,Pending
ORD000057,CUST00297,DC004,EMP0246,2022-12-21,Pending
ORD000058,CUST01847,DC019,EMP0429,2022-11-27,Cancelled
ORD000059,CUST00050,DC008,EMP0191,2021-08-19,Fulfilled
ORD000060,CUST00013,DC004,EMP0499,2022-06-15,Fulfilled
ORD000061,CUST00340,DC011,EMP0628,2024-02-20,Backordered
ORD000062,CUST03105,DC023,EMP0316,2022-10-22,Fulfilled
ORD000063,CUST01065,DC021,EMP0418,2021-10-20,Fulfilled
ORD000064,CUST00018,DC020,EMP0296,2024-12-04,Fulfilled
ORD000065,CUST02248,DC004,EMP0292,2023-07-08,Cancelled
ORD000066,CUST02166,DC015,EMP0736,2023-02-06,Fulfilled
ORD000067,CUST03666,DC002,EMP0423,2023-05-09,Fulfilled
ORD000068,CUST00164,DC012,EMP0082,2022-06-26,Fulfilled
ORD000069,CUST01432,DC015,EMP0191,2021-04-05,Fulfilled
ORD000070,CUST00767,DC015,EMP0579,2022-02-26,Fulfilled
ORD000071,CUST00904,DC004,EMP0419,2022-04-10,Pending
ORD000072,CUST02449,DC019,EMP0426,2021-10-08,Backordered
ORD000073,CUST02255,DC003,EMP0675,2024-11-28,Fulfilled
ORD000074,CUST02277,DC003,EMP0295,2022-09-23,Fulfilled
ORD000075,CUST02932,DC008,EMP0225,2024-08-23,Fulfilled
ORD000076,CUST00404,DC011,EMP0416,2024-09-26,Fulfilled
ORD000077,CUST02597,DC006,EMP0309,2024-10-06,Pending
ORD000078,CUST03768,DC013,EMP0540,2022-09-20,Pending
ORD000079,CUST00544,DC016,EMP0088,2024-03-08,Fulfilled
ORD000080,CUST00293,DC008,EMP0479,2025-02-17,Backordered
ORD000081,CUST02911,DC024,EMP0596,2022-12-21,Cancelled
ORD000082,CUST03552,DC018,EMP0751,2023-07-26,Cancelled
ORD000083,CUST02074,DC021,EMP0297,2023-10-10,Cancelled
ORD000084,CUST03662,DC016,EMP0633,2023-05-07,Fulfilled
ORD000085,CUST03138,DC007,EMP0446,2024-06-15,Cancelled
ORD000086,CUST03024,DC024,EMP0610,2022-09-09,Fulfilled
ORD000087,CUST02015,DC006,EMP0031,2025-07-18,Fulfilled
ORD000088,CUST00670,DC004,EMP0064,2022-10-11,Fulfilled
ORD000089,CUST03404,DC009,EMP0428,2021-08-31,Fulfilled
ORD000090,CUST03620,DC018,EMP0602,2022-05-12,Fulfilled
ORD000091,CUST00301,DC007,EMP0537,2022-05-15,Backordered
ORD000092,CUST01184,DC019,EMP0139,2024-09-13,Fulfilled
ORD000093,CUST02760,DC023,EMP0786,2024-11-24,Fulfilled
ORD000094,CUST00807,DC016,EMP0766,2024-05-28,Fulfilled
ORD000095,CUST00408,DC015,EMP0408,2022-07-25,Cancelled
ORD000096,CUST03432,DC023,EMP0108,2022-11-12,Fulfilled
ORD000097,CUST00028,DC003,EMP0422,2024-08-23,Fulfilled
ORD000098,CUST01095,DC001,EMP0234,2025-02-22,Backordered
ORD000099,CUST03087,DC022,EMP0410,2023-08-17,Fulfilled
ORD000100,CUST03724,DC018,EMP0021,2023-12-18,Fulfilled
ORD000101,CUST01002,DC017,EMP0603,2022-07-21,Fulfilled
ORD000102,CUST02100,DC005,EMP0072,2024-08-17,Cancelled
ORD000103,CUST00460,DC006,EMP0001,2025-07-17,Fulfilled
ORD000104,CUST00262,DC017,EMP0324,2022-08-12,Fulfilled
ORD000105,CUST03704,DC014,EMP0799,2024-09-30,Fulfilled
ORD000106,CUST00324,DC011,EMP0019,2024-10-02,Fulfilled
ORD000107,CUST03040,DC011,EMP0396,2023-10-10,Fulfilled
