order_item_id,order_id,product_id,quantity,unit_price
OI0000001,ORD000001,PRD0050,35,176.43
OI0000002,ORD000002,PRD0106,29,22.39
OI0000003,ORD000002,PRD0139,16,18.24
OI0000004,ORD000002,PRD0054,34,58.91
OI0000005,ORD000003,PRD0015,7,31.62
OI0000006,ORD000003,PRD0014,12,23.8
OI0000007,ORD000003,PRD0086,39,218.7
OI0000008,ORD000004,PRD0135,36,148.62
OI0000009,ORD000004,PRD0036,9,191.05
OI0000010,ORD000004,PRD0060,4,47.82
OI0000011,ORD000004,PRD0149,36,233.51
OI0000012,ORD000005,PRD0026,25,173.51
OI0000013,ORD000005,PRD0099,34,16.05
OI0000014,ORD000005,PRD0137,12,60.23
OI0000015,ORD000005,PRD0050,10,176.43
OI0000016,ORD000005,PRD0055,11,122.67
OI0000017,ORD000006,PRD0075,19,173.74
OI0000018,ORD000006,PRD0149,16,233.51
OI0000019,ORD000006,PRD0065,5,120.88
OI0000020,ORD000006,PRD0112,30,160.95
OI0000021,ORD000007,PRD0109,27,119.42
OI0000022,ORD000007,PRD0026,17,173.51
OI0000023,ORD000007,PRD0013,20,202.19
OI0000024,ORD000007,PRD0107,34,140.4
OI0000025,ORD000008,PRD0118,26,113.75
OI0000026,ORD000009,PRD0136,38,5.82
OI0000027,ORD000009,PRD0059,30,201.86
OI0000028,ORD000009,PRD0001,5,115.82
OI0000029,ORD000010,PRD0118,7,113.75
OI0000030,ORD000011,PRD0078,15,105.62
OI0000031,ORD000011,PRD0135,21,148.62
OI0000032,ORD000011,PRD0144,28,190.91
OI0000033,ORD000011,PRD0140,19,180.3
OI0000034,ORD000011,PRD0085,34,63.68
OI0000035,ORD000012,PRD0024,34,87.52
OI0000036,ORD000012,PRD0006,28,140.22
OI0000037,ORD000013,PRD999,19,203.77
OI0000038,ORD000013,PRD0117,32,90.73
OI0000039,ORD000013,PRD0004,23,27.44
OI0000040,ORD000013,PRD0110,7,237.89
OI0000041,ORD000014,PRD0096,8,78.52
OI0000042,ORD000015,PRD0026,11,173.51
OI0000043,ORD000015,PRD0017,23,191.07
OI0000044,ORD000016,PRD0125,31,149.25
OI0000045,ORD000016,PRD0066,31,106.81
OI0000046,ORD000017,PRD0112,31,160.95
OI0000047,ORD000017,PRD0107,-2,140.4
OI0000048,ORD000017,PRD0033,3,49.71
OI0000049,ORD000018,PRD0122,30,18.49
OI0000050,ORD000018,PRD0040,36,179.3
OI0000051,ORD000019,PRD0031,25,30.67
OI0000052,ORD000019,PRD0012,32,114.28
OI0000053,ORD000019,PRD0132,38,115.18
OI0000054,ORD000020,PRD0085,32,63.68
OI0000055,ORD000020,PRD0058,19,182.31
OI0000056,ORD000021,PRD0115,31,102.09
OI0000057,ORD000021,PRD0052,17,207.39
OI0000058,ORD000022,PRD0052,14,207.39
OI0000059,ORD000022,PRD0069,33,54.19
OI0000060,ORD000022,PRD0002,2,172.3
OI0000061,ORD000023,PRD0053,36,122.42
OI0000062,ORD000023,PRD0022,20,35.83
OI0000063,ORD000023,PRD0047,9,157.02
OI0000064,ORD000023,PRD0052,15,207.39
OI0000065,ORD000023,PRD0058,18,182.31
OI0000066,ORD000024,PRD0067,23,172.46
OI0000067,ORD000024,PRD0089,4,150.86
OI0000068,ORD000025,PRD0125,14,149.25
OI0000069,ORD000025,PRD0045,9,7.03
OI0000070,ORD000025,PRD0014,29,23.8
OI0000071,ORD000026,PRD0111,21,83.5
OI0000072,ORD000026,PRD0074,20,95.86
OI0000073,ORD000026,PRD0101,12,119.36
OI0000074,ORD000026,PRD0050,26,176.43
OI0000075,ORD000027,PRD0089,16,150.86
OI0000076,ORD000027,PRD0046,39,105.44
OI0000077,ORD000027,PRD0027,12,38.21
OI0000078,ORD000027,PRD0014,11,23.8
OI0000079,ORD000027,PRD0104,18,165.96
OI0000080,ORD000028,PRD0101,27,119.36
OI0000081,ORD000029,PRD0114,37,122.24
OI0000082,ORD000029,PRD0016,35,191.36
OI0000083,ORD000029,PRD0092,21,57.63
OI0000084,ORD000029,PRD0109,7,119.42
OI0000085,ORD000029,PRD0013,34,202.19
OI0000086,ORD000030,PRD0014,8,23.8
OI0000087,ORD000030,PRD0148,11,127.25
OI0000088,ORD000030,PRD0150,40,124.38
OI0000089,ORD000031,PRD0118,35,113.75
OI0000090,ORD000032,PRD0131,24,31.12
OI0000091,ORD000032,PRD0145,19,92.02
OI0000092,ORD000032,PRD0136,37,5.82
OI0000093,ORD000032,PRD0147,25,123.59
OI0000094,ORD000032,PRD0049,18,178.36
OI0000095,ORD000033,PRD0145,39,92.02
OI0000096,ORD000033,PRD0092,19,57.63
OI0000097,ORD000033,PRD0095,12,72.24
OI0000098,ORD000034,PRD0024,28,87.52
OI0000099,ORD000034,PRD0063,20,139.58
OI0000100,ORD000034,PRD0141,30,106.53
OI0000101,ORD000034,PRD0118,13,113.75
OI0000102,ORD000034,PRD0117,21,90.73
OI0000103,ORD000035,PRD0070,25,225.75
OI0000104,ORD000035,PRD0103,32,124.22
OI0000105,ORD000035,PRD0056,27,107.05
OI0000106,ORD000036,PRD0145,27,92.02
OI0000107,ORD000036,PRD0052,21,207.39
OI0000108,ORD000037,PRD0077,9,121.36
OI0000109,ORD000037,PRD0149,13,233.51
OI0000110,ORD000037,PRD0021,15,92.86
OI0000111,ORD000037,PRD0038,5,222.91
OI0000112,ORD000037,PRD0012,3,114.28
OI0000113,ORD000038,PRD0036,21,191.05
OI0000114,ORD000038,PRD0110,27,237.89
OI0000115,ORD000038,PRD0135,31,148.62
OI0000116,ORD000038,PRD0068,10,29.13
OI0000117,ORD000038,PRD0141,36,106.53
OI0000118,ORD000039,PRD0012,26,114.28
OI0000119,ORD000039,PRD0003,25,72.4
OI0000120,ORD000039,PRD0144,18,190.91
OI0000121,ORD000039,PRD0093,39,66.58
OI0000122,ORD000040,PRD0043,16,154.31
OI0000123,ORD000040,PRD0018,6,211.58
OI0000124,ORD000040,PRD0115,31,102.09
OI0000125,ORD000040,PRD0140,4,180.3
OI0000126,ORD000040,PRD0077,35,121.36
OI0000127,ORD000041,PRD0050,35,176.43
OI0000128,ORD000041,PRD0102,6,215.21
OI0000129,ORD000041,PRD0098,18,38.66
OI0000130,ORD000042,PRD0007,37,82.58
OI0000131,ORD000042,PRD0053,21,122.42
OI0000132,ORD000043,PRD0148,10,127.25
OI0000133,ORD000043,PRD0085,40,63.68
OI0000134,ORD000043,PRD0060,37,47.82
OI0000135,ORD000043,PRD0140,39,180.3
OI0000136,ORD000044,PRD0026,22,173.51
OI0000137,ORD000044,PRD0122,19,18.49
OI0000138,ORD000044,PRD0149,6,233.51
OI0000139,ORD000045,PRD0022,40,35.83
OI0000140,ORD000045,PRD0115,34,102.09
OI0000141,ORD000045,PRD0143,9,205.5
OI0000142,ORD000046,PRD0106,12,22.39
OI0000143,ORD000046,PRD0009,1,38.6
OI0000144,ORD000046,PRD0052,8,207.39
OI0000145,ORD000046,PRD0077,11,121.36
OI0000146,ORD000047,PRD0029,6,203.27
OI0000147,ORD000048,PRD0001,24,115.82
OI0000148,ORD000048,PRD0013,37,202.19
OI0000149,ORD000048,PRD0031,31,30.67
OI0000150,ORD000048,PRD0140,34,180.3
OI0000151,ORD000048,PRD0149,34,233.51
OI0000152,ORD000049,PRD0020,12,7.41
OI0000153,ORD000049,PRD0116,14,227.68
OI0000154,ORD000049,PRD0017,31,191.07
OI0000155,ORD000049,PRD0047,33,157.02
OI0000156,ORD000050,PRD0127,24,116.1
OI0000157,ORD000050,PRD0057,30,163.07
OI0000158,ORD000050,PRD0116,13,227.68
OI0000159,ORD000050,PRD0086,17,218.7
OI0000160,ORD000050,PRD0072,2,230.67
OI0000161,ORD000051,PRD0026,1,173.51
OI0000162,ORD000051,PRD0107,35,140.4
OI0000163,ORD000051,PRD0029,22,203.27
OI0000164,ORD000051,PRD0050,21,176.43
OI0000165,ORD000051,PRD0061,21,123.38
OI0000166,ORD000052,PRD0016,30,191.36
OI0000167,ORD000052,PRD0134,34,26.01
OI0000168,ORD000052,PRD0105,33,220.36
OI0000169,ORD000052,PRD0127,22,116.1
OI0000170,ORD000052,PRD0075,25,173.74
OI0000171,ORD000053,PRD0069,39,54.19
OI0000172,ORD000053,PRD0035,30,236.05
OI0000173,ORD000054,PRD0134,-31,26.01
OI0000174,ORD000054,PRD0135,8,148.62
OI0000175,ORD000054,PRD0078,13,105.62
OI0000176,ORD000054,PRD0108,27,29.96
OI0000177,ORD000055,PRD0129,35,171.21
OI0000178,ORD000056,PRD0104,17,165.96
OI0000179,ORD000056,PRD0003,4,72.4
OI0000180,ORD000056,PRD9999,35,130.95
OI0000181,ORD000056,PRD0041,35,74.92
OI0000182,ORD000056,PRD0095,29,72.24
OI0000183,ORD000057,PRD0006,7,140.22
OI0000184,ORD000058,PRD0064,4,230.86
OI0000185,ORD000058,PRD0105,38,220.36
OI0000186,ORD000059,PRD0032,26,206.97
OI0000187,ORD000059,PRD0003,40,72.4
OI0000188,ORD000060,PRD0037,16,226.8
OI0000189,ORD000060,PRD0146,8,116.28
OI0000190,ORD000061,PRD0016,12,191.36
OI0000191,ORD000061,PRD0042,37,34.49
OI0000192,ORD000061,PRD0119,16,39.29
OI0000193,ORD000061,PRD0011,26,190.23
OI0000194,ORD000061,PRD0102,10,215.21
OI0000195,ORD000062,PRD0070,35,225.75
OI0000196,ORD000062,PRD0028,40,98.85
OI0000197,ORD000062,PRD0052,33,207.39
OI0000198,ORD000062,PRD0101,3,119.36
OI0000199,ORD000062,PRD0104,37,165.96
OI0000200,ORD000063,PRD0110,22,237.89
OI0000201,ORD000063,PRD0046,35,105.44
OI0000202,ORD000064,PRD0091,40,175.98
OI0000203,ORD000065,PRD0104,23,165.96
OI0000204,ORD000065,PRD0150,19,124.38
OI0000205,ORD000065,PRD0043,40,154.31
OI0000206,ORD000065,PRD0050,-22,176.43
OI0000207,ORD000066,PRD0058,39,182.31
OI0000208,ORD000066,PRD0111,7,83.5
OI0000209,ORD000066,PRD0118,12,113.75
OI0000210,ORD000066,PRD0123,5,236.61
OI0000211,ORD000067,PRD0097,28,166.76
OI0000212,ORD000067,PRD0137,7,60.23
OI0000213,ORD000067,PRD0073,24,68.46
OI0000214,ORD000068,PRD0129,9,171.21
OI0000215,ORD000068,PRD0036,7,191.05
OI0000216,ORD000068,PRD0045,13,7.03
OI0000217,ORD000068,PRD0108,26,29.96
OI0000218,ORD000068,PRD0030,24,101.78
OI0000219,ORD000069,PRD0025,14,79.83
OI0000220,ORD000069,PRD0041,17,74.92
OI0000221,ORD000069,PRD0077,14,121.36
OI0000222,ORD000069,PRD0110,35,237.89
OI0000223,ORD000070,PRD0104,23,165.96
OI0000224,ORD000071,PRD0130,17,40.15
OI0000225,ORD000071,PRD0031,20,30.67
OI0000226,ORD000071,PRD0017,33,191.07
OI0000227,ORD000071,PRD0076,14,28.95
OI0000228,ORD000072,PRD0143,3,205.5
OI0000229,ORD000072,PRD0041,11,74.92
OI0000230,ORD000072,PRD0040,-7,179.3
OI0000231,ORD000072,PRD0126,20,35.6
OI0000232,ORD000073,PRD0023,4,138.23
OI0000233,ORD000073,PRD0009,8,38.6
OI0000234,ORD000074,PRD0069,24,54.19
OI0000235,ORD000075,PRD0046,22,105.44
OI0000236,ORD000076,PRD0133,18,216.9
OI0000237,ORD000076,PRD0008,12,87.17
OI0000238,ORD000077,PRD0140,15,180.3
OI0000239,ORD000077,PRD0148,22,127.25
OI0000240,ORD000078,PRD0050,37,176.43
OI0000241,ORD000078,PRD0149,4,233.51
OI0000242,ORD000078,PRD0071,4,189.96
OI0000243,ORD000079,PRD0028,9,98.85
OI0000244,ORD000079,PRD0141,21,106.53
OI0000245,ORD000079,PRD0001,12,115.82
OI0000246,ORD000079,PRD0077,21,121.36
OI0000247,ORD000080,PRD0051,40,24.49
OI0000248,ORD000080,PRD0075,16,173.74
OI0000249,ORD000080,PRD0109,36,119.42
OI0000250,ORD000081,PRD0095,11,72.24
OI0000251,ORD000081,PRD0035,3,236.05
OI0000252,ORD000081,PRD0050,20,176.43
OI0000253,ORD000081,PRD0043,30,154.31
OI0000254,ORD000082,PRD0067,22,172.46
OI0000255,ORD000082,PRD0075,24,173.74
OI0000256,ORD000083,PRD0122,20,18.49
OI0000257,ORD000084,PRD0107,19,140.4
OI0000258,ORD000084,PRD0048,26,221.86
OI0000259,ORD000084,PRD0015,39,31.62
OI0000260,ORD000084,PRD0001,34,115.82
OI0000261,ORD000084,PRD0090,5,72.4
OI0000262,ORD000085,PRD0083,35,19.93
OI0000263,ORD000086,PRD0045,28,7.03
OI0000264,ORD000087,PRD0046,9,105.44
OI0000265,ORD000087,PRD0148,27,127.25
OI0000266,ORD000088,PRD0149,37,233.51
OI0000267,ORD000088,PRD0087,22,40.72
OI0000268,ORD000088,PRD9999,29,213.52
OI0000269,ORD000089,PRD0084,9,40.42
OI0000270,ORD000089,PRD0140,17,180.3
OI0000271,ORD000089,PRD0123,28,236.61
OI0000272,ORD000090,PRD0068,15,29.13
OI0000273,ORD000091,PRD0105,34,220.36
OI0000274,ORD000091,PRD0072,19,230.67
OI0000275,ORD000092,PRD0118,8,113.75
OI0000276,ORD000092,PRD0084,21,40.42
OI0000277,ORD000092,PRD0140,1,180.3
OI0000278,ORD000092,PRD0109,24,119.42
OI0000279,ORD000093,PRD0001,38,115.82
OI0000280,ORD000094,PRD0140,27,180.3
OI0000281,ORD000094,PRD0101,20,119.36
OI0000282,ORD000094,PRD0134,33,26.01
OI0000283,ORD000094,PRD0037,5,226.8
OI0000284,ORD000095,PRD0083,29,19.93
OI0000285,ORD000095,PRD0065,2,120.88
OI0000286,ORD000095,PRD0041,26,74.92
OI0000287,ORD000095,PRD0102,40,215.21
OI0000288,ORD000096,PRD0133,21,216.9
OI0000289,ORD000096,PRD0047,23,157.02
OI0000290,ORD000097,PRD0149,21,233.51
OI0000291,ORD000097,PRD0116,39,227.68
OI0000292,ORD000097,PRD0146,34,116.28
OI0000293,ORD000097,PRD0144,16,190.91
OI0000294,ORD000098,PRD0044,19,142.63
OI0000295,ORD000098,PRD0044,33,142.63
OI0000296,ORD000099,PRD0063,13,139.58
OI0000297,ORD000099,PRD0059,29,201.86
OI0000298,ORD000099,PRD0045,31,7.03
OI0000299,ORD000100,PRD0124,30,45.26
OI0000300,ORD000101,PRD0048,4,221.86
OI0000301,ORD000101,PRD0048,34,221.86
OI0000302,ORD000101,PRD0115,37,102.09
OI0000303,ORD000101,PRD0006,2,140.22
OI0000304,ORD000101,PRD0040,28,179.3
OI0000305,ORD000102,PRD0063,12,139.58
OI0000306,ORD000102,PRD0133,18,216.9
OI0000307,ORD000103,PRD0062,32,239.86
OI0000308,ORD000104,PRD0057,21,163.07
OI0000309,ORD000104,PRD0053,35,122.42
OI0000310,ORD000105,PRD0032,2,206.97
OI0000311,ORD000105,PRD0025,22,79.83
OI0000312,ORD000106,PRD0072,38,230.67
OI0000313,ORD000107,PRD0124,3,45.26
OI0000314,ORD000107,PRD0013,2,202.19
OI0000315,ORD000107,PRD0002,2,172.3
OI0000316,ORD000107,PRD0141,2,106.53
OI0000317,ORD000108,PRD0044,25,142.63
OI0000318,ORD000108,PRD0081,27,47.37
OI0000319,ORD000108,PRD0073,10,68.46
OI0000320,ORD000108,PRD9999,24,131.76
OI0000321,ORD000108,PRD0121,5,231.51
OI0000322,ORD000109,PRD0070,31,225.75
OI0000323,ORD000109,PRD0046,7,105.44
OI0000324,ORD000109,PRD0018,34,211.58
OI0000325,ORD000110,PRD0119,7,39.29
OI0000326,ORD000110,PRD0060,7,47.82
OI0000327,ORD000110,PRD0043,30,154.31
OI0000328,ORD000111,PRD0075,4,173.74
OI0000329,ORD000112,PRD0101,30,119.36
OI0000330,ORD000112,PRD0022,24,35.83
OI0000331,ORD000112,PRD0076,31,28.95
OI0000332,ORD000112,PRD0103,7,124.22
OI0000333,ORD000112,PRD0075,16,173.74
OI0000334,ORD000113,PRD0033,23,49.71
OI0000335,ORD000113,PRD0129,18,171.21
OI0000336,ORD000113,PRD0022,33,35.83
OI0000337,ORD000113,PRD0018,12,211.58
OI0000338,ORD000114,PRD0052,6,207.39
OI0000339,ORD000114,PRD0001,3,115.82
OI0000340,ORD000114,PRD0136,11,5.82
OI0000341,ORD000114,PRD0023,40,138.23
OI0000342,ORD000114,PRD0061,4,123.38
OI0000343,ORD000115,PRD0042,30,34.49
OI0000344,ORD000115,PRD0090,3,72.4
OI0000345,ORD000115,PRD0111,33,83.5
OI0000346,ORD000116,PRD0143,10,205.5
OI0000347,ORD000117,PRD0100,17,36.13
OI0000348,ORD000117,PRD0011,29,190.23
OI0000349,ORD000117,PRD0095,26,72.24
OI0000350,ORD000117,PRD0033,38,49.71
OI0000351,ORD000118,PRD0025,13,79.83
OI0000352,ORD000118,PRD0139,38,18.24
OI0000353,ORD000118,PRD0135,20,148.62
OI0000354,ORD000119,PRD0011,31,190.23
OI0000355,ORD000119,PRD0005,12,143.43
OI0000356,ORD000119,PRD0008,7,87.17
OI0000357,ORD000119,PRD0066,31,106.81
OI0000358,ORD000120,PRD0090,30,72.4
OI0000359,ORD000120,PRD0012,21,114.28
OI0000360,ORD000120,PRD0138,8,105.95
OI0000361,ORD000120,PRD0108,38,29.96
OI0000362,ORD000120,PRD0141,29,106.53
OI0000363,ORD000121,PRD0123,5,236.61
OI0000364,ORD000121,PRD0006,9,140.22
OI0000365,ORD000121,PRD0113,30,176.91
OI0000366,ORD000122,PRD0035,37,236.05
OI0000367,ORD000122,PRD0133,35,216.9
OI0000368,ORD000122,PRD0056,37,107.05
OI0000369,ORD000123,PRD0145,39,92.02
OI0000370,ORD000123,PRD0101,16,119.36
OI0000371,ORD000124,PRD0026,4,173.51
OI0000372,ORD000124,PRD0072,17,230.67
OI0000373,ORD000125,PRD0006,27,140.22
OI0000374,ORD000125,PRD0070,35,225.75
OI0000375,ORD000125,PRD0034,6,69.78
OI0000376,ORD000125,PRD0100,16,36.13
OI0000377,ORD000125,PRD0122,6,18.49
OI0000378,ORD000126,PRD0099,16,16.05
OI0000379,ORD000126,PRD0121,14,231.51
OI0000380,ORD000127,PRD0088,28,54.55
OI0000381,ORD000127,PRD0100,25,36.13
OI0000382,ORD000128,PRD0092,26,57.63
OI0000383,ORD000128,PRD0101,27,119.36
OI0000384,ORD000128,PRD0016,21,191.36
