order_item_id,product_id,quantity,unit_price,value_affected
OI0000037,PRD999,19,$203.77,"$3,871.63"
OI0000180,PRD9999,35,$130.95,"$4,583.25"
OI0000268,PRD9999,29,$213.52,"$6,192.08"
OI0000320,PRD9999,24,$131.76,"$3,162.24"
OI0000417,PRD999,21,$76.42,"$1,604.82"
OI0000561,PRD9999,9,$27.35,$246.15
OI0000571,PRD9999,25,$136.53,"$3,413.25"
OI0000577,PRD999,34,$98.33,"$3,343.22"
OI0000603,PRD9999,8,$39.30,$314.40
OI0000633,PRD000,17,$207.85,"$3,533.45"
OI0000646,PRD000,9,$80.02,$720.18
OI0000726,PRD999,18,$147.65,"$2,657.70"
OI0000777,PRD000,11,$67.35,$740.85
OI0000842,PRD000,36,$184.89,"$6,656.04"
OI0000855,PRD999,3,$136.08,$408.24
OI0000904,PRD999,28,$62.95,"$1,762.60"
OI0000954,PRD999,31,$161.91,"$5,019.21"
OI0000997,PRD9999,28,$71.59,"$2,004.52"
OI0001004,PRD000,7,$80.61,$564.27
OI0001061,PRD9999,18,$8.35,$150.30
OI0001140,PRD9999,32,$128.88,"$4,124.16"
OI0001160,PRD000,35,$84.47,"$2,956.45"
OI0001188,PRD9999,7,$211.20,"$1,478.40"
OI0001292,PRD9999,33,$87.76,"$2,896.08"
OI0001310,PRD9999,32,$173.44,"$5,550.08"
OI0001339,PRD9999,25,$94.79,"$2,369.75"
OI0001361,PRD999,14,$138.30,"$1,936.20"
OI0001402,PRD9999,39,$15.21,$593.19
OI0001542,PRD9999,22,$24.67,$542.74
OI0001580,PRD999,36,$38.19,"$1,374.84"
OI0001599,PRD9999,9,$145.85,"$1,312.65"
OI0001618,PRD000,23,$155.07,"$3,566.61"
OI0001636,PRD9999,37,$210.33,"$7,782.21"
OI0001705,PRD000,40,$191.10,"$7,644.00"
OI0001819,PRD999,3,$32.18,$96.54
OI0001892,PRD000,-24,$24.37,-$584.88
OI0001919,PRD999,31,$114.43,"$3,547.33"
OI0001956,PRD999,25,$176.99,"$4,424.75"
OI0002056,PRD000,18,$214.89,"$3,868.02"
OI0002079,PRD999,4,$116.23,$464.92
OI0002184,PRD000,6,$223.19,"$1,339.14"
OI0002254,PRD000,14,$218.42,"$3,057.88"
OI0002381,PRD999,28,$192.80,"$5,398.40"
OI0002418,PRD999,2,$38.85,$77.70
OI0002510,PRD9999,-3,$170.67,-$512.01
OI0002519,PRD999,28,$100.48,"$2,813.44"
OI0002540,PRD000,30,$190.83,"$5,724.90"
OI0002684,PRD000,33,$71.10,"$2,346.30"
OI0002768,PRD9999,29,$221.86,"$6,433.94"
OI0002861,PRD999,29,$30.81,$893.49
OI0002864,PRD9999,38,$25.22,$958.36
OI0002966,PRD999,21,$170.80,"$3,586.80"
OI0002980,PRD000,19,$46.38,$881.22
OI0003096,PRD999,12,$7.14,$85.68
OI0003176,PRD9999,4,$107.40,$429.60
OI0003216,PRD999,16,$200.38,"$3,206.08"
OI0003254,PRD9999,31,$148.19,"$4,593.89"
OI0003313,PRD000,2,$69.97,$139.94
OI0003365,PRD999,24,$83.32,"$1,999.68"
OI0003400,PRD000,36,$71.82,"$2,585.52"
OI0003509,PRD999,5,$208.25,"$1,041.25"
OI0003514,PRD999,20,$178.71,"$3,574.20"
OI0003557,PRD9999,22,$25.17,$553.74
OI0003764,PRD9999,33,$212.29,"$7,005.57"
OI0003765,PRD000,3,$39.55,$118.65
OI0003799,PRD9999,13,$173.62,"$2,257.06"
OI0003856,PRD9999,15,$164.29,"$2,464.35"
OI0003889,PRD999,18,$91.59,"$1,648.62"
OI0003959,PRD000,36,$224.70,"$8,089.20"
OI0004025,PRD9999,-37,$46.67,"-$1,726.79"
OI0004115,PRD999,18,$156.14,"$2,810.52"
OI0004125,PRD999,39,$61.51,"$2,398.89"
OI0004144,PRD000,30,$59.46,"$1,783.80"
OI0004150,PRD000,32,$197.17,"$6,309.44"
OI0004184,PRD000,34,$65.15,"$2,215.10"
OI0004308,PRD999,15,$66.70,"$1,000.50"
OI0004310,PRD999,33,$100.64,"$3,321.12"
OI0004312,PRD000,31,$107.33,"$3,327.23"
OI0004436,PRD9999,1,$97.79,$97.79
OI0004483,PRD999,34,$85.79,"$2,916.86"
OI0004520,PRD999,16,$80.17,"$1,282.72"
OI0004522,PRD9999,39,$69.93,"$2,727.27"
OI0004524,PRD9999,23,$196.46,"$4,518.58"
OI0004528,PRD000,15,$172.31,"$2,584.65"
OI0004694,PRD9999,4,$149.08,$596.32
OI0004716,PRD9999,5,$150.98,$754.90
OI0004802,PRD000,15,$109.83,"$1,647.45"
OI0004836,PRD9999,34,$99.15,"$3,371.10"
OI0004858,PRD9999,17,$220.59,"$3,750.03"
OI0004863,PRD9999,23,$149.14,"$3,430.22"
OI0004891,PRD999,30,$38.60,"$1,158.00"
OI0005038,PRD000,12,$16.50,$198.00
OI0005121,PRD9999,20,$21.34,$426.80
OI0005146,PRD000,2,$126.70,$253.40
OI0005150,PRD000,15,$71.62,"$1,074.30"
OI0005156,PRD000,12,$102.17,"$1,226.04"
OI0005199,PRD9999,10,$203.23,"$2,032.30"
OI0005209,PRD999,39,$12.58,$490.62
OI0005242,PRD9999,22,$38.68,$850.96
OI0005244,PRD999,40,$239.07,"$9,562.80"
OI0005271,PRD000,36,$13.10,$471.60
OI0005272,PRD9999,38,$54.47,"$2,069.86"
OI0005280,PRD999,35,$162.04,"$5,671.40"
OI0005288,PRD9999,28,$121.60,"$3,404.80"
OI0005352,PRD000,23,$14.16,$325.68
OI0005354,PRD9999,31,$23.83,$738.73
OI0005444,PRD9999,33,$149.76,"$4,942.08"
OI0005487,PRD9999,28,$228.12,"$6,387.36"
OI0005575,PRD9999,35,$193.51,"$6,772.85"
OI0005638,PRD9999,2,$48.93,$97.86
OI0005759,PRD999,27,$150.63,"$4,067.01"
OI0005810,PRD9999,13,$91.30,"$1,186.90"
OI0005820,PRD9999,35,$106.97,"$3,743.95"
OI0005832,PRD999,11,$79.08,$869.88
OI0005834,PRD999,24,$143.00,"$3,432.00"
OI0005870,PRD9999,21,$225.07,"$4,726.47"
OI0005888,PRD000,35,$180.92,"$6,332.20"
OI0006134,PRD9999,17,$155.10,"$2,636.70"
OI0006147,PRD999,29,$73.42,"$2,129.18"
OI0006155,PRD999,34,$23.46,$797.64
OI0006170,PRD999,10,$97.73,$977.30
OI0006301,PRD999,32,$148.13,"$4,740.16"
OI0006322,PRD999,29,$101.89,"$2,954.81"
OI0006396,PRD999,4,$201.40,$805.60
OI0006442,PRD999,28,$143.91,"$4,029.48"
OI0006484,PRD999,2,$109.99,$219.98
OI0006499,PRD999,34,$202.41,"$6,881.94"
OI0006530,PRD999,7,$149.24,"$1,044.68"
OI0006555,PRD000,7,$31.89,$223.23
OI0006662,PRD000,4,$47.57,$190.28
OI0006709,PRD9999,40,$230.33,"$9,213.20"
OI0006728,PRD000,7,$215.43,"$1,508.01"
OI0006751,PRD9999,31,$58.50,"$1,813.50"
OI0006753,PRD999,24,$126.80,"$3,043.20"
OI0006756,PRD999,25,$201.20,"$5,030.00"
OI0006767,PRD999,20,$183.64,"$3,672.80"
OI0006783,PRD9999,-34,$129.86,"-$4,415.24"
OI0006824,PRD999,29,$172.27,"$4,995.83"
OI0006980,PRD999,15,$135.44,"$2,031.60"
OI0007040,PRD9999,34,$32.84,"$1,116.56"
OI0007094,PRD999,2,$223.02,$446.04
OI0007111,PRD000,35,$88.60,"$3,101.00"
OI0007217,PRD000,32,$22.77,$728.64
OI0007225,PRD999,14,$32.15,$450.10
OI0007354,PRD999,21,$83.87,"$1,761.27"
OI0007419,PRD999,19,$33.54,$637.26
OI0007426,PRD999,12,$203.88,"$2,446.56"
OI0007506,PRD9999,17,$177.03,"$3,009.51"
OI0007520,PRD999,32,$144.33,"$4,618.56"
OI0007525,PRD9999,7,$200.29,"$1,402.03"
OI0007561,PRD999,25,$157.34,"$3,933.50"
OI0007643,PRD000,38,$83.51,"$3,173.38"
OI0007646,PRD000,40,$72.03,"$2,881.20"
OI0007685,PRD999,28,$175.24,"$4,906.72"
OI0007785,PRD9999,31,$200.69,"$6,221.39"
OI0007804,PRD999,15,$130.55,"$1,958.25"
OI0007815,PRD000,13,$227.01,"$2,951.13"
OI0007853,PRD9999,28,$76.77,"$2,149.56"
OI0007888,PRD9999,2,$96.94,$193.88
OI0007894,PRD000,18,$23.02,$414.36
OI0007911,PRD999,20,$22.85,$457.00
OI0007989,PRD000,19,$191.75,"$3,643.25"
OI0008134,PRD000,5,$213.98,"$1,069.90"
OI0008173,PRD999,5,$153.40,$767.00
OI0008288,PRD9999,11,$223.63,"$2,459.93"
OI0008295,PRD9999,19,$154.90,"$2,943.10"
OI0008397,PRD000,20,$201.86,"$4,037.20"
