order_item_id,order_id,quantity
OI0000047,ORD000017,-2
OI0000173,ORD000054,-31
OI0000206,ORD000065,-22
OI0000230,ORD000072,-7
OI0000399,ORD000132,-19
OI0000430,ORD000144,-1
OI0000552,ORD000184,-33
OI0000591,ORD000194,-34
OI0000704,ORD000234,-40
OI0000721,ORD000240,-33
OI0000722,ORD000240,-19
OI0000781,ORD000256,-14
OI0000849,ORD000277,-7
OI0001042,ORD000345,-38
OI0001151,ORD000385,-17
OI0001183,ORD000396,-7
OI0001195,ORD000400,-22
OI0001216,ORD000408,-26
OI0001414,ORD000472,-22
OI0001470,ORD000492,-33
OI0001509,ORD000504,-1
OI0001522,ORD000510,-27
OI0001631,ORD000544,-4
OI0001665,ORD000557,-6
OI0001754,ORD000591,-19
OI0001757,ORD000592,-3
OI0001892,ORD000633,-24
OI0001910,ORD000638,-23
OI0002023,ORD000675,-5
OI0002261,ORD000752,-12
OI0002397,ORD000798,-26
OI0002416,ORD000803,-19
OI0002500,ORD000831,-10
OI0002507,ORD000833,-15
OI0002510,ORD000834,-3
OI0002518,ORD000837,-38
OI0002656,ORD000880,-21
OI0002685,ORD000890,-12
OI0002753,ORD000914,-16
OI0002938,ORD000984,-22
OI0002954,ORD000991,-36
OI0002963,ORD000993,-25
OI0002972,ORD000996,-34
OI0003020,ORD001009,-9
OI0003077,ORD001029,-40
OI0003102,ORD001038,-25
OI0003159,ORD001059,-24
OI0003199,ORD001073,-16
OI0003213,ORD001079,-33
OI0003274,ORD001099,-32
OI0003299,ORD001108,-9
OI0003303,ORD001108,-11
OI0003343,ORD001121,-25
OI0003350,ORD001123,-6
OI0003394,ORD001136,-5
OI0003480,ORD001164,-28
OI0003563,ORD001196,-1
OI0003619,ORD001213,-25
OI0003732,ORD001248,-13
OI0003751,ORD001256,-18
OI0003783,ORD001268,-15
OI0003858,ORD001294,-16
OI0003864,ORD001296,-8
OI0004015,ORD001343,-11
OI0004025,ORD001346,-37
OI0004148,ORD001387,-36
OI0004647,ORD001552,-33
OI0004823,ORD001610,-21
OI0004825,ORD001610,-21
OI0004833,ORD001613,-16
OI0004888,ORD001630,-1
OI0004934,ORD001645,-14
OI0004998,ORD001664,-37
OI0005178,ORD001721,-5
